Enterprise_id,Label,Registered_capital (Ten thousand Yuan),Province,Enterprise_type,Establishment_Duration (Days),Paid_in_capital (Ten thousand Yuan),Sector,SH_num,MS_num,CL_5years+,CL_5years,CL_4years,CL_3years,CL_2years,CL_1year,Branch_num,Certificate_num_5years+,Certificate_num_5years,Certificate_num_4years,Certificate_num_3years,Certificate_num_2years,Certificate_num_1year,Executee_num_5years+,Executee_num_5years,Executee_num_4years,Executee_num_3years,Executee_num_2years,Executee_num_1year,Overdue_tax_num_3years,Overdue_tax_num_2years,Overdue_tax_num_1year,Administrative_penalty_num_5years,Administrative_penalty_num_4years,Administrative_penalty_num_3years,Administrative_penalty_num_2years,Administrative_penalty_num_1year,Trademark_info_num_5years+,Trademark_info_num_5years,Trademark_info_num_4years,Trademark_info_num_3years,Trademark_info_num_2years,Trademark_info_num_1year,Patent_info_num_5years+,Patent_info_num_5years,Patent_info_num_4years,Patent_info_num_3years,Patent_info_num_2years,Patent_info_num_1year,Work_copyright_info_num_5years+,Work_copyright_info_num_5years,Work_copyright_info_num_4years,Work_copyright_info_num_3years,Work_copyright_info_num_2years,Work_copyright_info_num_1year,Software_copyright_info_num_5years+,Software_copyright_info_num_5years,Software_copyright_info_num_4years,Software_copyright_info_num_3years,Software_copyright_info_num_2years,Software_copyright_info_num_1year,t-1 Basic old-age insurance for urban employees,t-2 Basic old-age insurance for urban employees,t-3 Basic old-age insurance for urban employees,t-1 Unemployment insurance,t-2 Unemployment insurance,t-3 Unemployment insurance,t-1 Basic medical insurance for employees,t-2 Basic medical insurance for employees,t-3 Basic medical insurance for employees,t-1 Employment injury insurance,t-2 Employment injury insurance,t-3 Employment injury insurance,t-1 Birth insurance,t-2 Birth insurance,t-3 Birth insurance,Legal_proceedings_num_5years+,Legal_proceedings_num_5years,Legal_proceedings_num_4years,Legal_proceedings_num_3years,Legal_proceedings_num_2years,Legal_proceedings_num_1year,Filing_information_num_5years+,Filing_information_num_5years,Filing_information_num_4years,Filing_information_num_3years,Filing_information_num_2years,Filing_information_num_1years,Ratepaying_Credit_Grade_A_num
1284,0,3000,Sichuan,Limited liability company (Natural person investment or holding),840,500,Construction industry,3,2,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,12,22,0,12,22,0,12,22,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,0,3000,Sichuan,Limited liability company (sole proprietorship of natural person),1130,161,Construction industry,1,2,0,0,1,12,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,8,4,3,6,3,3,8,4,3,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,0,12000,Sichuan,Limited liability company (Natural person investment or holding),2625,3000,Construction industry,2,2,9,19,0,5,1,2,5,0,0,0,1,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,173,162,106,173,162,106,173,162,106,173,162,106,173,162,106,0,0,0,0,0,40,0,0,1,2,3,3,0
1287,0,4000,Sichuan,Limited liability company (Natural person investment or holding),5220,1000,Construction industry,2,2,35,0,10,6,4,2,,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,12,21,26,12,21,26,12,21,26,12,21,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,0,5000,Sichuan,Limited liability company (Natural person investment or holding),2720,100,Construction industry,2,3,21,8,4,4,4,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,7,11,9,7,11,9,7,11,9,7,11,9,7,0,0,1,4,3,3,0,0,1,3,1,0,2
1289,0,5000,Sichuan,Limited liability company (Natural person investment or holding),1645,2124,Construction industry,2,2,0,0,0,3,2,4,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,30,23,24,30,23,24,30,23,24,30,23,24,30,0,0,0,0,3,1,0,0,0,0,0,1,0
1290,0,680,Sichuan,Limited liability company (Natural person investment or holding),1078,0,Scientific research and technology services,2,3,0,0,0,0,11,5,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,0,5600,Sichuan,Limited liability company (Natural person investment or holding),2395,1150,Construction industry,2,2,5,0,0,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,10,8,5,10,8,5,10,8,5,10,8,5,0,0,0,0,0,1,0,0,0,0,0,1,1
1292,0,3000,Sichuan,Limited liability company (Natural person investment or holding),1288,1000,Scientific research and technology services,2,2,0,0,0,0,5,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,0,2000,Sichuan,Limited liability company (Natural person investment or holding),1280,0,Construction industry,3,3,0,0,0,6,0,2,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,14,5,0,14,5,0,14,5,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
